Sensor,SensorReference,SensorTAG,SENSORIDBinary,SENSORIDASCII,NumberOfFields,BinaryTypeofvariable,BinarySizeperField,DefaultDecimalPrecision,Unit
Battery level,N/A,SENSOR_BAT,52,BAT,1,uint8_t,1,0, %
Water pH,9328,SENSOR_WATER_PH,130,PH,1,float,4,2,N/A
Oxidation Reduction Potential,9329,SENSOR_WATER_ORP,131,ORP,1,float,4,3,voltage
Disolved oxygen,9327,SENSOR_WATER_DO,132,DO,1,float,4,1,%
Water Conductivity,9326,SENSOR_WATER_COND,133,COND,1,float,4,1,μS/cm
Water Temperature,9255,SENSOR_WATER_WT,134,WT,1,float,4,2,ºC
Turbidity,9353, SENSOR_WATER_TURB,135,TURB,1,float,4,1,NTU
pH (P&S! SOCKET A),9328,SENSOR_WATER_PH_A,136,PH_A,1,float,4,2,N/A
pH (P&S! SOCKET E),9328,SENSOR_WATER_PH_E,137,PH_E,1,float,4,2,N/A
ORP (P&S! SOCKET A),9329,SENSOR_WATER_ORP_A,138,ORP_A,1,float,4,3,voltage
ORP (P&S! SOCKET E),9329,SENSOR_WATER_ORP_E,139,ORP_E,1,float,4,3,voltage
